Rule ID,Severity,User-Facing Message (LV)
MISSING_SIGNERS,ERROR,"Institūcijas parakstītāji nav pievienoti. Lūdzu, pievienojiet izveidotāja un parakstītāja informāciju."
NO_INVENTORIES,ERROR,Projektam nav uzskaites sarakstu
INVENTORY_NOT_READY,ERROR,Uzskaites saraksts nav gatavs OPEX ģenerēšanai
INVENTORY_MISSING_NUMBER,ERROR,Uzskaites saraksta numurs ir obligāts
INVENTORY_MISSING_TYPE,ERROR,Uzskaites saraksta tips ir obligāts
INVENTORY_NO_ITEMS,ERROR,"Uzskaites sarakstam ir norādīti datumi, bet nav vienību - pievienojiet vienības vai noņemiet datumus"
ITEM_MISSING_TITLE,ERROR,Vienības nosaukums ir obligāts
ITEM_MISSING_NUMBER,ERROR,Vienības numurs ir obligāts
ITEM_NO_RECORDS,ERROR,Elektroniskā vienībai jābūt vismaz vienam dokumentam
ITEM_NO_MEDIA_RECORDS,ERROR,Elektroniskā {foto/video/audio} vienībai jābūt atbilstošam {foto/video/audio} dokumentam
MEDIA_RECORD_INCOMPLETE,ERROR,"{foto/video/audio} dokumentam trūkst obligāto lauku: {krāsa, ilgums, horizontālā izšķirtspēja, vertikālā izšķirtspēja}"
RECORD_MISSING_TITLE,ERROR,Dokumenta nosaukums ir obligāts
RECORD_MISSING_DATE,ERROR,Dokumenta datums ir obligāts
ELECTRONIC_DOC_NO_FILES,ERROR,Elektroniskajam dokumentam jābūt vismaz vienam failam
ELECTRONIC_MEDIA_NO_FILE,ERROR,Elektroniskajam medijam jābūt tieši vienam failam
FILE_MISSING,ERROR,Fails ir pazudis vai ir izdzēsts
FILE_ZERO_SIZE,ERROR,Failam ir nulles izmērs
FILE_TYPE_MISMATCH (Foto),ERROR,Faila tips neatbilst foto medija tipam
FILE_TYPE_MISMATCH (Video),ERROR,Faila tips neatbilst video medija tipam
FILE_TYPE_MISMATCH (Audio),ERROR,Faila tips neatbilst audio medija tipam
ITEM_MISSING_NOTES,WARNING,Ieteicams pievienot piezīmes
PHOTO_LOW_HORIZONTAL_RESOLUTION,WARNING,"Foto horizontālā izšķirtspēja ({value}px) ir zemāka par ieteikto minimumu (1000px). Pārliecinieties, ka attēls ir pareizais"
PHOTO_LOW_VERTICAL_RESOLUTION,WARNING,"Foto vertikālā izšķirtspēja ({value}px) ir zemāka par ieteikto minimumu (1000px). Pārliecinieties, ka attēls ir pareizais"
VIDEO_SHORT_DURATION,WARNING,"Video ilgums ({duration}) ir īsāks par 1 minūti. Pārliecinieties, ka fails ir pareizais"
AUDIO_SHORT_DURATION,WARNING,"Audio ilgums ({duration}) ir īsāks par 1 minūti. Pārliecinieties, ka fails ir pareizais"
RECORD_MISSING_ANNOTATION,WARNING,Ieteicams pievienot anotāciju labākai dokumentācijai
RECORD_MISSING_KEYWORDS,WARNING,Ieteicami pievienot atslēgvārdus meklēšanas uzlabošanai
FILE_LARGE_SIZE,WARNING,Fails ir ļoti liels (>500MB) un var radīt problēmas pakotnes ģenerēšanā
TEXTUAL_FILE_SMALL_SIZE,WARNING,"Tekstuālā dokumenta fails ir ļoti mazs ({size} KB). Pārliecinieties, ka fails ir pareizais"
FILE_MISSING_METADATA,WARNING,Faila metadati ir nepilnīgi (trūkst nosaukuma vai paplašinājuma)
